"sku","cost","Edmonton"
ekbkqvv5ge,107569,1
3lbz74vbbn,1347,1
e55m6gwlbe,1273,4
nygbrkk49n,47765,13
m395y44pdn,10405,50
3xdzmowppe,985,10
3ob4xmwrgn,7844,3
3ww84pxoz3,4303,6
3py2grobk3,158,32
e5ll4g564n,344,43
3w7bxox8bn,23095,5
e59b2rp99n,69508,12
e226zr2bde,7682,17
nb8xvzy82n,4694,12
3w77l8pvbn,4477,12
3wook6bjme,1308,1
3pk5qp72ze,7779,50
edkwq7pqgn,265,7
ngolgbvjre,363,11
ekbd92m22e,9023,3
nm44wyr6jn,47765,3
3wqkvdd2b3,11977,3
nga85g7ran,1588,4
34qryrm7ke,6283,1
3lrklvv973,626,27
3wk69qr9y3,6072,2
nq2lbqoron,64102,1
3a9866rkdn,17481,24
3zrkl274je,3650,1
nq6rroodm3,9038,1
erybj7v55n,2923,27
3ax8yalddn,6255,3
34j6ypv9k3,7944,4
3wox8xv6ye,1411,5
3w7g7v4mzn,143,10
3pyyw6byb3,10302,5
3wqlrkrvb3,30081,1
3xokgmb7p3,2192,2
l34qgw27je,43800,11
3zrg46yq4e,4717,1
