"sku","cost_price","vancouver"
39r2k7mbd3,0,16
edzj5kr9zn,19132,1
nyax9r5dzn,2723,10
ekobvjlpgn,1923,9
63xvazal4e,12507,1
3j6vkg64xn,5264,1
375ra9jdxe,23462,1
3py57aqw83,7993,4
39w9zpokgn,2081,5
era92rvx5n,2380,8
edxl2vozg3,5620,6
edokk2bmg3,778,5
3a56jagp7e,37288,3
36yj67vrje,1508,2
3pq5p728ke,7880,1
nm84k4a5d3,5075,4
ng8zgb8bz3,11688,2
3j6kl4zp6n,23197,1
nvooljg9xe,2436,4
36v4vw7l8e,17624,3
3ob247llzn,33432,3
39z6bmw6yn,18039,2
nb842or8an,1588,6
e5pxzaodg3,18745,3
ekgpmob923,2375,5
3zxabw2w7e,20881,1
34p2w6b6p3,2137,5
38dg7m7z5n,3302,1
367p6pbdje,32387,1
3796rjdjjn,11542,2
nmomy99kve,3417,5
3xlyvykap3,4460,1
3jzg9kkawe,6348,1
3az8wp88ve,4341,1
3xyyzodyxe,7984,2
36po54jgxe,7847,1
39jqv2dwye,749,1
3pqvg9qqge,3961,6
e5gm5446b3,7298,6
erd58mw25n,10426,1
3wokkymbye,11117,1
3zz7j6pow3,5250,1
er7oa6go9n,2356,3
37x4p66zxn,3453,3
nyy2ljmkzn,26870,5
ny46rg48gn,14134,34
34kvvbxjje,2911,3
3zw76z7rw3,8829,1
ekolkl4mrn,28277,2
erqgqkvw73,4131,3
366dbk2r83,6552,1
e2dg4o2m73,20390,1
3p725oraz3,7342,3
3zd24by4jn,22063,2
3a9xo2rgdn,3949,3
37mowv9lp3,3335,4
384w9vlo5n,12982,6
3zw69y4k83,15309,4
ngbwlo6zb3,4700,2
384bxbbmdn,15413,1
3zd7ydobjn,25870,1
ngggkxgavn,9916,2
wnb84azkxn,1484,8
nvzb8wdo23,4270,3
3ww6dwxzm3,877,5
e5pq75olo3,28983,20
3wy99zwqzn,3747,4
x3amdaorv3,2461,1
34p42a9bp3,1622,5
nv9mwbzxpe,7164,2
nv4zzv4pqn,8426,5
23l25bklon,9419,1
ngq8wvb8r3,1204,5
nbowa9kby3,9868,2
nqzolz67on,20687,3
ekgkkvra53,14971,3
3zp67oyjjn,886,3
nqlap4z8o3,14208,2
3jxzwbbyon,21808,1
e2v7qrp863,12542,5
3xvxjv2qde,15043,4
83w7r649bn,26502,3
3xdor4wlxe,8307,3
e2bba6b9ae,9810,1
nmz48gq493,3593,3
ekowa7w25n,24338,1
eko2myv25n,9212,5
x365w79qkn,6915,1
ngq57vojb3,9607,1
nbk28k6o2n,16977,3
3ob9dqg8gn,13299,14
3axgxkardn,5814,1
ek72plvb43,7443,5
3a94bd47bn,1121,1
nydby8aqgn,31350,4
erak47m89n,14502,1
nbkxrbqzmn,14859,1
23ldpmjwde,5779,1
erqrv5b693,13791,1
ed8p7p24zn,2026,3
3zwwp4r643,1403,2
3pkaklry9e,34503,4
372wbwbxve,1334,2
ek9arydxgn,4757,5
e559z5jloe,5556,1
nvvpd9jyqn,7938,3
qe2mxd7oa3,6107,5
ngawj6jkbn,536,6
er6qdap79e,7765,9
39rl66kgd3,10389,9
e5z7y4pkre,11624,1
3p2ld286ke,32056,3
23ld6ak2de,2797,6
3jzzvd7xxe,8420,2
38vy5a4xdn,7901,3
388vz8lvj3,3995,2
e25ropwqje,4321,2
o3ppy427k3,7613,2
3l2b2ypjzn,22222,1
34bamyk6ke,3564,5
3lpadawg7e,6312,1
3almp4m78n,6845,1
nqzpxyxawn,15231,2
39wbw46rdn,13069,1
e5p8jy9bg3,4731,6
nm2gmqy7d3,20424,1
e226zopgje,17110,1
3xaa826yde,7573,12
3pq5yqx5ge,8922,3
39grbmq8pe,11720,1
3l6w7w2ay3,12988,4
3jrqyp5jpn,2419,2
3l64qokwd3,20840,2
3xo2g88px3,17959,1
ngqlypg4a3,1057,1
nm9yk272ke,31417,1
nmzpbmxjd3,4583,1
nb74885xxe,1078,2
3xykvod2le,12685,6
nqq9rq9qwn,5419,5
ek8bl6l2re,7718,1
er2godz2j3,10572,1
34jrk858k3,17817,1
edodb4gzd3,8990,10
3x6o4av943,4769,1
nyd2mrabyn,14876,1
368j24qk9n,9390,1
erg8v8bdjn,1533,3
ngor9p2rze,490,3
3zlx8dgp6e,1673,4
qnvj42wzbn,36508,1
3olqywvp93,15115,2
nmo9zwvk9e,29132,1
er46p6lg5n,17856,1
edga4mmq2e,2240,2
nvvq2zprbn,3145,3
374y774pw3,4001,3
3l6gyp7xb3,1819,5
38j8yz72pn,10351,3
3pqja49kge,3996,5
3azrry7l7e,7330,2
ngb2m4kxv3,0,2
nmkdolb9v3,8410,3
345k49jape,1145,9
qe2pp8w4a3,1007,2
34jpdmb7j3,15784,2
39gb98847e,11312,1
39gdwwd87e,4706,1
3arp8vr2dn,2132,4
ekzwd29zre,20203,2
3j2rjopo6e,1002,2
83zvdkyjn4,996,5
3lpwd8w7ze,3222,4
3obdaj5y6n,25704,1
395wo22xyn,21279,1
3ollb7blz3,8173,1
nbvgp4xd2e,21889,3
ngopwobxre,8971,1
3xomwx4lp3,1855,1
nvyogvk92n,39779,2
nbdypx5ome,2695,2
3l7b5y27ze,3272,8
er7647dz5n,5470,3
erd65dd6ln,6462,2
nm22vbyxd3,11950,1
3azrwkzk8e,32427,1
nq8ovkogmn,5037,2
3xaxzxz8xe,5748,1
nmra272vve,19529,5
er6zxj299e,753,8
e2d8kgora3,2617,1
ek88ymqvde,3660,2
erqggpwp93,560,5
e2b9mzy6je,11181,2
3zgo6zaljn,1285,5
3a8qrory7e,57279,1
3zklwa4k63,8114,4
2ny2kpjyl3,1181,4
36vor7o2xe,23462,2
eddkj56age,855,6
ek8zja75ge,5028,3
3l88o94mon,2185,5
3822qapoo3,8613,6
3zkvg8dz73,13044,2
3a94yljvdn,14702,13
3l7qypwloe,3055,1
ek2okyaxge,3964,1
365gyjbzkn,357,3
nybxykzwl3,8799,8
ekbrrkjlde,385,1
nyyl864wzn,1110,14
nga9rxapbn,4579,4
3zgaxqdq6n,13288,1
3zkoklrv83,24446,3
e5g48qwm93,7848,11
nb6jo6wlm3,15700,1
m39doll2ge,6688,1
er776g4y8n,14947,2
e22xo94d7e,43172,4
edk9vxg44n,28141,4
63xzdxyvxn,7280,4
38xoko42je,6094,2
ngo524aave,2362,1
nvpm7vorpn,3920,18
wnb5644o2n,26175,4
ekzgggrq5e,3364,2
34xp4mo54n,4309,6
nm9yvkb59e,2240,2
er6jv2988e,14788,2
3o2vkd5d6n,7109,1
nqpbmq7mke,3063,5
e2jvpdw7d3,8885,1
