shipment_id,sku,part_description,manufacturer,part_number,price,quantity
shp_efbc005e391b4e4cbd0b37d780eae061,nyxdqgz5ye,Sway Bar Frame Bushing Or Kit,ENERGY SUSPENSION,19.5105G,FALSE,1
shp_efbc9db3966647fc88d01fb9c3209850,39bw8mjbdn,Exhaust Manifold,DORMAN (OE SOLUTIONS),674-694,FALSE,1
shp_efbc9db3966647fc88d01fb9c3209850,ekq62a9yge,Exhaust Manifold,DORMAN (OE SOLUTIONS),674-695,FALSE,1
shp_efbf9cf9e5f24624a0b1e19afcae81b1,349dzgrmjn,Premium Ignition Wire Set,BECK/ARNLEY,175-6224,FALSE,1
shp_efc010f077d64e37861574519ef3e3d8,364xa88pxe,Control Arm With Ball Joint,BECK/ARNLEY,102-7045,FALSE,1
shp_efc010f077d64e37861574519ef3e3d8,38dv7o4zpn,Control Arm With Ball Joint,BECK/ARNLEY,102-7046,FALSE,1
shp_efc010f077d64e37861574519ef3e3d8,3l8ayvqw7n,Front Original Equipment Brake Pads,BECK/ARNLEY,089-1792,FALSE,1
shp_efc010f077d64e37861574519ef3e3d8,er5g28vbl3,Front Caliper Bolt Or Pin,RAYBESTOS,H15259,FALSE,2
shp_efc010f077d64e37861574519ef3e3d8,ngord9mrae,Front Disc Hardware Kit,RAYBESTOS,H18016A,FALSE,1
shp_efc010f077d64e37861574519ef3e3d8,qnv6bmmd2e,Front Disc Brake Rotor,RAYBESTOS,980637R,FALSE,2
shp_efc3317e4ed94ec3ba8a32f6e06238b1,3zzxja7kw3,Drag Link,MOOG,DS300037,FALSE,1
shp_efc89e143f3748e495d3f11bb98bcb44,3zdvzbq46n,Front Disc Brake Rotor,RAYBESTOS,680544R,FALSE,2
shp_efd5de6b13df4ce9aa293ab2f89790d1,39xd49xb73,Front Disc Hardware Kit,RAYBESTOS,H5708A,FALSE,1
shp_efd5de6b13df4ce9aa293ab2f89790d1,3wob2z87xe,Front Caliper Kit,RAYBESTOS,WK885,FALSE,2
shp_efd9b5b5b5eb4932bd82d1a7e36e4b1b,erajy74r7n,Rear Hybrid Pads,RAYBESTOS,EHT1430AH,FALSE,1
shp_efd9b5b5b5eb4932bd82d1a7e36e4b1b,nvpkay57bn,Rear Disc Brake Rotor,RAYBESTOS,580771R,FALSE,2
shp_efdb920e6233479f9987655b9ca8c732,e5vqbwdj93,Rear Disc Brake Rotor,RAYBESTOS,780082R,FALSE,1
shp_efdca557996f4ae7b4089a03072e2a5c,3plw27o68n,Water Outlet Housing,COOLING DEPOT,84883,FALSE,1
shp_efdca557996f4ae7b4089a03072e2a5c,e577kj2ro3,Lower Radiator Or Coolant Hose,DAYCO,71827,FALSE,1
shp_efdca557996f4ae7b4089a03072e2a5c,e5g4oodvo3,Water Pump Mounting Gasket,FEL-PRO,35474,FALSE,1
shp_efdca557996f4ae7b4089a03072e2a5c,nmkx482k93,Serpentine Belt,DAYCO,5060875,FALSE,1
shp_efdca557996f4ae7b4089a03072e2a5c,nq6yrg2ao3,New Water Pump,WORLDPARTS WATER PUMPS,943060,FALSE,1
shp_efdca557996f4ae7b4089a03072e2a5c,nv4mjdq8bn,198f/92c Thermostat,COOLING DEPOT,97333198,FALSE,1
