"sku","cost_price","Edmonton"
36ovvabb83,1124,0
nq2pgmlb6n,2322,2
37xqklozpn,21860,0
erbaqpdz73,3522,2
3l689q8bz3,6013,6
3wvq9gjbqn,4629,5
374wwl9vj3,2232,0
367vvdywke,3442,0
3arbwxjr7n,6042,0
3ob4mkxzgn,2370,0
e25g7d82ke,4808,4
3xzg85264n,812,1
4ng4gxgxpn,42079,1
38wlw47op3,5649,2
l34j2rw6y3,1124,1
nm2wo9kjk3,6993,0
erg9kbrgln,860,0
3xrko5lgp3,3192,1
erqvobrl83,3527,3
38zjlplk53,2209,7
er5kxzr4l3,941,8
4ngymq7rbn,1263,0
3zxo4w2y6e,1885,1
38kv8lo9j3,2202,1
ek45p27d23,1193,0
3orx5zjv63,23040,1
ped4a44mde,929,0
9ekj955q23,1648,0
372b5vkr9e,4366,2
