"sku","cost","Montreal"
nmzljrlrk3,1854,3
eryzp9798n,83480,1
3xxpxdoxl3,10052,3
nm9vpprw9e,34606,2
edqjjlyk4n,10606,2
e5paxbq8b3,43,50
3pq2bqlpze,6881,0
ng6ml4yqze,192,8
3az67v66ve,1150,2
38xj666lde,1737,1
ekg9dyakr3,14850,0
3o8247wbgn,1834,5
nvrg6qr9xe,1594,8
ng8mvw58v3,6682,8
nvp5zdp42n,19004,5
nql425mzk3,6597,2
edgxpjyzge,4136,4
3o4odrl89e,42267,9
e2dg6l6ld3,889,1
nqdp7r7zze,8279,12
nqdjpjjbme,24270,2
63xzxy2zkn,30962,3
9ekz96x8ge,15622,2
3757l4qvpe,36956,1
3a9jvzgrvn,5372,1
nm96rz7mde,20296,2
39xqv8wlb3,2531,2
37xoky66jn,58031,1
396avjyxp3,6699,1
3a9j2z84vn,15972,1
nyyb5w9xzn,14275,0
39w7yrwmyn,84495,11
erd865a6jn,784,3
36667gkb93,257,2
nyqalm99z3,6881,2
edo8g6j6z3,12060,3
3a79jy95b3,5005,3
ekg2oo9w23,18814,2
e5mp4r2dr3,12055,2
4ngbpm6qp3,770,17
39lo8oy7g3,47968,2
37vb2pdoj3,25696,1
3a5raj4kbe,9839,1
nmm86d4pkn,38603,1
384rryz55n,5840,4
39l2xozqg3,4365,1
38m2wbvgpn,1945,2
3p74wo7ab3,7892,0
38dkkagodn,2444,3
g38rpwqo5e,6665,2
3xalz8w64e,7451,1
37agyddr93,1879,1
e2594rkv6e,10162,0
379orpvgpn,5817,1
3xxjo7qjd3,27607,2
nmkgdqddx3,4090,0
3j6rrqrp9n,11558,5
ekbkqvv5ge,107569,0
3lbz74vbbn,1347,1
e55m6gwlbe,1273,0
nygbrkk49n,47765,3
m395y44pdn,10405,50
3xdzmowppe,985,7
3ob4xmwrgn,7844,3
3ww84pxoz3,4303,2
3py2grobk3,158,4
e5ll4g564n,344,23
3w7bxox8bn,23095,5
e59b2rp99n,69508,3
e226zr2bde,7682,7
nb8xvzy82n,4694,6
3w77l8pvbn,4477,3
3wook6bjme,1308,1
3pk5qp72ze,7779,50
edkwq7pqgn,265,5
ngolgbvjre,363,11
ekbd92m22e,9023,3
nm44wyr6jn,47765,1
3wqkvdd2b3,11977,2
nga85g7ran,1588,4
