"sku","cost_price","halifax"
nqd47padoe,685,1
ny7qg4kaln,8142,1
9ekzwkogre,288,0
38j896gajn,8209,1
9ek6wa475n,480,1
nbalvkmj9e,24785,0
83z7q24g8n,3793,18
36yz9opl9e,727,11
38zjj2rq53,7930,1
3pq7rl6oke,4809,0
3lbg7bkmbn,35825,0
e59zl8b9on,2038,0
3pl9bgowkn,1386,2
38z6oyljj3,7083,2
ek44dlpl23,30450,0
396lz9xag3,759,0
o3p2ayabe2,2309,0
nvpzgq7jpn,7322,0
3lab6pq77e,13784,1
3j276q98xe,8759,0
3xxoja9vl3,1633,8
3p2rmk6mbe,1008,2
nqzakkkrzn,2384,3
39w2a59ydn,801,0
ekqx7xrwre,10366,69
er2xxwdxj3,2239,6
364xa88pxe,8844,3
3oyzoqjr6e,10686,0
362b796v9n,12552,1
3xqq74l8xn,3483,0
nba27jo9me,15443,1
368g4z7m9n,2884,2
38x57lopoe,6369,0
3plp2lqxgn,1809,0
38dmpbvajn,3534,2
2nyoa5made,283,13
qe295jaaan,7404,7
38vdaomkon,1074,0
3jzkb2l9pe,4077,1
3oork6wp93,3416,0
23l89gbqdn,5175,1
nvvdrdgzpn,6921,2
3pmwkagyk3,858,0
36947vprj3,1674,3
37av7pvzj3,10399,2
nm2wyk8p93,1063,2
e57y92b5o3,535,89
3o8b6kk29n,7929,2
ed8arzpk2n,29803,2
e5bp559w4e,6634,1
3obkk6ggzn,394,222
edkqxb4vzn,24291,0
39r6xz7jg3,369,2
39w6yvx7dn,17603,1
3x6jxyp5p3,42332,1
nqygddy2ke,7273,1
3l2kbp4pzn,4036,0
e59r5mwd4n,1175,0
nydwpkmazn,10004,3
3pq5rpl6ze,4321,0
ek447kgyd3,1633,2
nqpy9oyyze,1506,0
nqzb2vrrzn,7171,1
e5zm8vz4be,3056,1
374x7xglx3,1372,30
e25jbjy67e,3377,0
3orddx98k3,2008,0
3pq2y78b8e,24379,1
ekqq42kk2e,12604,0
38z2j6wjd3,638,5
349gx9dw4n,7196,1
nykw7l66l3,4531,0
3oo4yj9yz3,311,2
ped9mbwqd3,846,0
e24poz7a63,2114,0
edo9y2d2z3,4243,3
366684zq93,18851,2
38kzvdpb53,1312,1
9ekp9w4p43,1956,0
nb4j599k2e,2009,0
wnmwzj8k93,50957,0
e572rm8db3,64,59
ped4jpwwe6,3335,4
3aa5xpza73,4403,3
3jrdkb6q9n,3501,1
erqol27m73,3458,34
j3jj8o5q93,1952,2
e2582oq2je,1584,0
nv47rzg8qn,976,0
nglr7z7lae,11064,1
3wqoq2rbz3,1450,7
3xrag66od3,1074,2
3oyzylg2ge,708,5
37byl9pdpe,9172,0
3l749272de,596,218
38jyl6wxjn,3647,0
3pxvxz6qgn,2373,0
3a7k5a6j83,2362,0
3jqkbw67pe,2384,0
ngomqrmqre,780,6
3xljvl5dp3,5594,0
nvbm7b6dq3,2892,2
3j2d24ol6e,4002,1
37rvaxggxn,1288,2
83wb8pqab3,956,0
nmro9x2bve,2942,0
3xojqgvmd3,4127,0
3jqopodwwe,12104,2
ek7p5kbw23,4816,6
362popql8n,8720,1
39goxmlw7e,11928,0
nvqmlj62q3,2291,0
366wxyryo3,26032,3
374g5754p3,1131,2
e2vbgl9qa3,8659,2
nm8bggp6v3,10449,1
34kjbwl4me,5925,6
nqpdloyl6e,13676,0
nvz99qlqj3,21160,1
nvvm962zjn,9826,1
e5pvjlq7b3,6853,1
3l6jla72b3,3504,0
37mpojvdj3,819,2
83wgzpvyxn,4397,0
37mx9gkrj3,1615,0
nq69rzykz3,16704,2
3xqwlj9wkn,17987,0
nbmrxvww2e,756,0
nm4xoo5a9n,6237,10
3a5a5wjv8e,486,0
3zaojrab4n,1057,0
3lby9odzdn,2007,2
ek8zr28q2e,2175,1
3ozw7xaa9n,1726,0
3zg2rwkr4n,2850,0
ek2w4zrode,12317,1
3wv8jq8pzn,1700,0
3o49w9yaze,1084,1
3womw4opxe,2051,0
nbo9vm8dy3,1420,3
23ljpzd6ze,1301,0
nbyb5822ye,1428,0
3zwjkyzd63,825,1
34qxxz8yke,1782,5
nm27jwzkv3,1668,0
3zkj48rrw3,1705,0
3lalwwbpye,1408,3
3xv927gyxe,1220,0
nyx54odvze,595,3
ekbor2yore,8238,1
34bd9oqj4e,2457,3
83wyljyxn5,8451,1
38woz6mbp3,18209,0
3l7vzgl5oe,8127,0
nvz52x6jp3,3316,0
349wx7vxmn,2484,0
e52j26qore,1011,1
e2jgqzala3,8582,0
er2jpazll3,3331,1
3wxwjyy9ze,4734,1
nmzg858gx3,1161,0
edqgldrxzn,3950,10
366aa8gp83,7629,0
3wwyd7o2m3,1050,1
3lxdd2mz73,1069,2
o3p7x5yxz3,15070,1
367wgxvm9e,5827,0
3w77b8rgqn,7016,3
3ww9ywdmm3,5449,5
e5l7pkddrn,2858,0
3xqwjjrydn,741,0
rnq2b7m6wn,1186,3
e2jqbrdmd3,17297,2
3jlpmjvj6n,4580,1
nqp9qkk6ke,5797,0
nqpqb2odze,858,3
nv9rby2lje,15201,1
o3pbj4x4ge,4758,0
3wv6vx66xn,1224,89
3l66mop9z3,199,1
3xav885vxe,1232,0
365bpdkdjn,12357,0
3xyyy5v8le,1131,9
37r6b9yopn,621,4
39wq7or57n,4401,0
nmkxy9lgv3,20126,1
wnmk89x9x3,1462,2
3zxmylx74e,888,0
3946jkdlde,6445,0
39wr2wobgn,6537,1
ngggrlw4bn,6580,1
nv4j6zk92n,11874,0
e59xzak94n,12191,1
nq2gvyz6on,4027,2
erajq9dwjn,6556,3
34qw2mzqye,998,2
nggqa74abn,902,0
37mv8zld93,8629,0
nq2xq56kmn,5286,1
36o85g5dj3,6151,1
3847obzy5n,2300,0
2ny8pg7gz3,4413,3
3pqg554gke,3379,1
3pmxmx8vg3,3775,0
xero6zod8e,52189,6
nqymj45owe,1516,0
367y4vg29e,15185,0
3womyglyme,9495,0
nv9r9rk82e,6397,0
4e5z7m8aoe,691,0
3xyzb4a4le,2042,0
nbk27ab9mn,8314,1
er6j5wy87e,9892,1
39wx9jk9gn,5774,0
z37pa7mbw3,8677,0
3jz69zg6we,2074,0
e2vlj45x63,4409,2
37mo7j4zp3,1122,4
3xyydqlzxe,31661,7
nmzbk5wwj3,3781,0
edzqdgyygn,5940,1
nvq8w24ox3,1251,8
ekzm4gzlge,2020,0
g38lj4xx5e,3121,20
38vowz6wdn,7677,2
e5vg6zj243,14693,0
nybvpo5zz3,2238,0
3wk2m7zvq3,1351,4
362ow24rjn,1662,0
3642akyg8e,4103,0
ek4x6va743,1210,0
3obk59gmzn,13369,12
3wqxmv94b3,1322,3
nm4oj5d8dn,11410,1
nv9lppo4pe,12884,1
3jrrzvbrpn,6918,0
37rxdvmrvn,32044,0
ekg66dy253,9311,3
rnqr7o7bw3,1138,3
3pxkm6kd8n,5607,9
4e5r9po4on,17654,6
37vxk76mx3,2859,2
er6qvvja9e,1340,0
erdmab799n,8754,1
nyx5o9xrze,823,0
nbax7mqk2e,3183,0
3j7avzkmo3,13252,0
j3jry6amxn,1346,3
34q2xwmxye,846,0
9ekq2vlpre,2198,1
3pxyapvlkn,5343,0
x36vbwyqoe,22682,0
e2g865o8j3,963,0
83wwwrp9z3,4769,0
ekzxpggode,11950,0
ekgk2k9o23,4007,0
nm4qod5xxn,1866,0
nq27m8gvwn,1819,5
nmorq5jg9e,3089,2
nggx9wzpan,9772,4
3o8kmo45kn,580,1
nqv8ql2mke,972,0
